country,population,total_cases,total_deaths,incidence,mortality,cfr,recovery_rate,vaccination_rate
Russia,145579889.0,24901467.0,404290.0,3.2264071859540984,0.8613827147512113,1.7325408396841144,98.19831808215707,32.19498362777569
Rwanda,13651025.0,133274.0,1468.0,0.0,0.16116005940945827,1.1020359137589335,98.95912970918657,31.593796331881936
Saint Barthelemy,10948.0,5507.0,5.0,0.0,18.26817683595177,0.09079353550027239,99.91601384838107,
Saint Helena,5369.0,2166.0,0.0,0.0,0.0,0.0,100.0,
Saint Kitts and Nevis,46732.0,6607.0,46.0,0.0,8.559445347941454,0.6962312698652944,99.4447075967513,38.747452408327185
Saint Lucia,178794.0,30254.0,410.0,0.0,10.067451927917043,1.3562237438391056,98.7396707207446,21.05210523936299
Saint Martin (French part),28899.0,12324.0,46.0,0.0,24.22229142876916,0.3745928338762215,99.01653148021782,
Saint Pierre and Miquelon,5760.0,3426.0,2.0,0.0,17.36111111111111,0.05837711617046118,99.9614388126161,
Saint Vincent and the Grenadines,102063.0,9674.0,124.0,0.0,8.818082948766937,1.281786231135001,99.00253925732301,24.12816515636403
Samoa,215270.0,17057.0,31.0,0.0,1.8581316486273052,0.18174356569150496,99.86438926076409,47.75608270115169
San Marino,34113.0,25292.0,126.0,0.0,17.58860258552458,0.5182216893697263,98.49145345010696,31.767795420948175
Sao Tome and Principe,226313.0,6771.0,80.0,0.0,1.767463645482142,1.2141447867658217,98.67037556208247,22.755375320471913
Saudi Arabia,32175351.0,841469.0,9646.0,0.11188689130384312,0.1802622137673028,1.1463286229201552,98.77163479122787,55.141511834133034
Senegal,17651099.0,89437.0,1972.0,0.0,0.7761556376744586,2.21336327905671,97.86816408491794,4.799722273149848
Serbia,6791215.0,2568005.0,18057.0,1.384141129385537,1.0160184885915113,0.7148223892770614,99.0914687842683,33.9064205364017
Seychelles,125533.0,51899.0,172.0,0.0,8.762636119586086,0.33327520393729776,99.68555155893895,38.85787981180323
Sierra Leone,8276809.0,7985.0,126.0,0.0,0.07249170543865395,1.6104096882246843,98.08405668633253,19.588673840401356
Singapore,5649888.0,3006155.0,2024.0,0.05309839770275092,1.2389626130641882,0.06732853096397225,99.91692024508065,66.8102792746902
Sint Maarten (Dutch part),42163.0,11051.0,92.0,0.0,11.858738704551383,0.8325038458058095,97.92313226216982,52.985650926167494
Slovakia,5473195.0,1889642.0,21395.0,0.3654172745535286,3.7272562004459915,1.132487415466717,98.61578186422463,32.53377164814874
Slovenia,2115231.0,1366814.0,9914.0,0.0,19.09956879414116,0.7287707121502706,98.59942449397192,38.07949275539629
Solomon Islands,781075.0,25954.0,199.0,0.0,5.8893192075024805,0.7667411574323804,99.41340301101303,11.299201836026086
Somalia,17801895.0,27334.0,1361.0,0.0,0.48309463683501114,4.979146850076828,95.29054505536628,7.544205028910266
South Africa,62378417.0,4073151.0,102595.0,0.0,1.3530320912119331,2.5191938285091857,97.4006406894066,22.916266522562722
South America,430492816.0,69327528.0,1356387.0,1.1541423724943183,2.7038778737715337,1.987560045836184,97.45060360869725,60.41279035403445
South Korea,51782515.0,34571873.0,35934.0,0.096557689405391,1.9813637865986231,0.11104207406416061,99.45174824881767,59.18073515358469
South Sudan,11021175.0,18873.0,147.0,0.0,0.08166098442316722,0.7810009563277016,99.05319914843092,9.778424540930313
Spain,47828386.0,13980340.0,121880.0,0.0,12.212412938207866,0.8716812323591557,98.03917869322837,52.88649348900799
